English,CEFR,gender,word,wordAudio,pronunciation,definition,sentenceAudio,example,sentenceTranslation,To Delete,Duplicate?
innocent,B1,adjective,بی‌گُناه,X,bi-gonâh,بدون تقصیر,X,او بی‌گُناه بود، اما کسی حرفش را باور نکرد.,"He was innocent, but nobody believed what he said.",,
"sick, ill",A2,adjective,بیمار,X,bimâr,دارای حالِ بد و تب یا درد,X,پدرم بیمار است.,My father is sick.,,
hospital,A2,noun,بیمارستان,X,bimârestân,جایی برای درمان,X,بیمارستان بزرگ و تمیز است.,The hospital is big and clean.,,
"sickness, illness, disease",A2,noun,بیماری,X,bimâri,حالِ بدِ بدن,X,او یک بیماری دارد و باید استراحت کند.,He has an illness and needs to rest.,,
insurance,B1,noun,بیمه,X,bime,قراردادی برای دریافتِ پول هنگامِ خسارت,X,شرکت بیمه تمام خسارت تصادف ماشین را پرداخت کرد.,The insurance company paid all the damages for the car accident.,,
between,A1,preposition,بین,X,beyn,برای قرار گرفتن در وسطِ دو چیز,X,تو بین من و بابا نشسته‌ای.,You are sitting between me and Dad.,,
international,B2,adjective,بین‌المللی,X,beyno-l-melali,مربوط به چند کشور,X,این کنفرانس بین‌المللی است و از چند کشور مهمان دارد.,This conference is international and has guests from several countries.,,
nose,A1,noun,بینی,X,bini,عضوی روی صورت برای نفس کشیدن و بو کردن,X,بینی من در سرما سرد می‌شود.,My nose gets cold in the cold weather.,,
biology,B2,noun,بیولوژی,X,biyoloži,درسِ مربوط به موجودات زنده,X,در کلاس بیولوژی دربارهٔ سلول و ژن صحبت کردیم.,In biology class we talked about cells and genes.,,Duplicate
"leg, foot",A1,noun,پا,X,pâ,عضوی برای راه رفتن,X,پاهایم بعد از راه رفتن خسته است.,My legs are tired after walking.,,
king,B1,noun,پادشاه,X,pâdešâh,پادشاهِ یک کشور,X,پادشاه قول داد مالیات را کم کند، ولی بعد نظرش عوض شد.,"The king promised to lower taxes, but then he changed his mind.",,
kingdom,B1,noun,پادشاهی,X,pâdešâhi,نظامِ پادشاهی,X,در آن زمان کشور یک پادشاهی بود.,At that time the country was a kingdom.,,
Persia,B1,noun,پارس,X,pârs,نامِ قدیمیِ ایران,X,در کتاب تاریخ خواندم که پارس در دوره‌های مختلف نام‌های دیگری هم داشته است.,In a history book I read that Persia has had other names in different periods too.,,
park,A1,noun,پارک,X,pârk,جایی سبز برای تفریح و بازیِ بچه‌ها,X,من هر روز در پارک پیاده‌روی می‌کنم.,I walk in the park every day.,,
passport,A2,noun,پاسپورت,X,pâsport,دفترچه قانونی برای سفر,X,من برای سفر به خارج از کشور به پاسپورت نیاز دارم.,I need a passport to travel abroad.,,
pasta,A1,noun,پاستا,X,pâstâ,غذای رشته‌ای که از آرد درست می‌شود و در آب پخته می‌شود,X,پاستا را با چنگال می‌خورم.,I eat pasta with a fork.,,
"answer, response, reply",A2,noun,پاسخ,X,pâsox,جواب برای سؤال,X,جواب تو را می‌خواهم، نه سکوت.,"I want your answer, not silence.",,
"answer, respond, reply",A2,verb,پاسخ دادن,X,pâsox dâdan,جواب دادن به سؤال,X,لطفاً به سؤال من پاسخ بده.,Please answer my question.,,Duplicate
"clean, pure",A2,adjective,پاک,X,pâk,تمیز و بدون آلودگی,X,لطفاً آب پاک بنوش.,Please drink clean water.,,
eraser,A1,noun,پاک‌کن,X,pâk-kon,چیزی برای پاک کردن نوشتهٔ مداد,X,با پاک‌کن اشتباه را پاک می‌کنم.,I erase the mistake with an eraser.,,
fifteen,A1,numeral,پانزده,X,pânzdah,عدد ۱۵,X,پانزده یعنی ده و پنج.,Fifteen means ten and five.,,
end,A2,noun,پایان,X,pâyân,آخرِ یک چیز,X,این پایان داستان است.,This is the end of the story.,,
"capital city, capital",A2,noun,پایتخت,X,pâytaxt,شهرِ اصلیِ یک کشور,X,تهران پایتخت ایران است.,Tehran is the capital of Iran.,,
"autumn, fall",A1,noun,پاییز,X,pâyiz,فصل بعد از تابستان و قبل از زمستان,X,در پاییز هوا سرد می‌شود.,"In autumn, the weather gets cold.",,
blanket,A2,noun,پتو,X,patu,پوششی گرم هنگام خواب,X,هوا سرد است، لطفا روی من پتو بینداز.,"It is cold, please throw a blanket over me.",,
"cook, bake",A2,verb,پختن,X,poxtan,غذا را با گرما آماده کردن,X,امشب برای خانواده‌ام غذا می‌پزم.,Tonight I cook food for my family.,,
father,A1,noun,پدر,X,pedar,مردی که فرزند دارد,X,پدر من در تهران است.,My father is in Tehran.,,
grandfather,A1,noun,پدربزرگ,X,pedar-bozorg,پدرِ پدر یا پدرِ مادر,X,پدربزرگ من عینک دارد.,My grandfather has glasses.,,
Portugal,A2,noun,پرتغال,X,portoġâl,کشوری در اروپا,X,پرتغال کنار اقیانوس است.,Portugal is by the ocean.,,
orange,A1,noun,پرتقال,X,porteqâl,میوه‌ای گرد و نارنجی‌رنگ با پوست,X,پرتقال را پوست می‌کنم و می‌خورم.,I peel the orange and eat it.,,
flag,A2,noun,پرچم,X,parčam,چیزی که رنگِ کشور دارد,X,پرچم کشور روی ساختمان است.,The country’s flag is on the building.,,
payment,B1,noun,پرداخت,X,pardâxt,دادنِ پول برای خرید,X,پرداختِ آنلاین برای من راحت‌تر است.,Online payment is more convenient for me.,,
curtain,A2,noun,پرده,X,parde,پارچه‌ای که برای پوشاندنِ پنجره می‌آویزند,X,پرده را بکش تا نور شدید خورشید چشمم را اذیت نکند.,Pull the curtain so the strong sunlight doesn't bother my eyes.,,
worship,B2,verb,پرستیدن,X,parastidan,پرستش کردنِ یک موجود مقدس,X,بعضی‌ها به جای پرستیدن خدا، پول یا قدرت را پرستیدن می‌کنند، بی‌آنکه متوجه باشند.,"Some people, instead of worshipping God, worship money or power without realizing it.",,
ask,A2,verb,پرسیدن,X,porsidan,سؤال کردن برای فهمیدن,X,می‌توانم یک سؤال بپرسم؟,May I ask a question?,,
bird,A1,noun,پرنده,X,parande,جانوری که پر دارد و پرواز می‌کند,X,پرنده روی درخت است.,The bird is on the tree.,,
flight,A2,noun,پرواز,X,parvâz,سفر با هواپیما,X,پروازِ ما ساعت هشت است.,Our flight is at eight o’clock.,,
fly,A2,verb,پرواز کردن,X,parvâz kardan,با هواپیما در آسمان رفتن,X,هواپیما از فرودگاه پرواز کرد.,The airplane took off from the airport.,,
jump,A2,verb,پریدن,X,paridan,با پا از زمین جدا شدن,X,بچه‌ها در حیاط می‌پرند.,The children jump in the yard.,,
"doctor, physician",A2,noun,پزشک,X,pezešk,کسی که بیمار را درمان می‌کند,X,پزشک گفت که باید بیشتر بخوابم.,The doctor said I should sleep more.,,
medicine,B1,noun,پزشکی,X,pezeški,شاخه‌ای مربوط به درمان و دارو,X,در دانشگاه، پزشکی می‌خواند تا بتواند به مردم کمک کند.,"At university, he studies medicine so he can help people.",,
"so, therefore",A2,conjunction,پس,X,pas,برای نتیجه گرفتن,X,هوا سرد بود، پس خانه ماندم.,"It was cold, so I stayed home.",,
"mail, post",A2,noun,پست,X,post,نامه‌ها و بسته‌ها,X,من بسته را با پست فرستادم.,I sent the package by post.,,
"boy, son",A1,noun,پسر,X,pesar,پسرِ یک خانواده,X,این پسر کوچک گریه می‌کند.,This little boy is crying.,,
behind,A1,preposition,پشت,X,pošt-e,در قسمتِ عقبِ یک چیز,X,کفش پشت در است.,The shoes are behind the door.,,
support,B2,noun,پشتیبانی,X,poštibâni,کمکِ فنی یا مالی برای ادامهٔ کار,X,برای راه‌اندازیِ این سامانه، پشتیبانیِ فنی لازم است.,"To launch this system, technical support is necessary.",,
support,B2,verb,پشتیبانی کردن,X,poštibâni kardan,کمکِ فنی یا مالی کردن برای ادامهٔ کار,X,شرکت باید از مشتری‌ها پشتیبانی کند، نه این‌که آن‌ها را سرگردان بگذارد.,"The company should support customers, not leave them stranded.",,
wool,B1,noun,پشم,X,pašm,موی بدنِ گوسفند,X,این پلیور خیلی گرم است چون از پشم گوسفند بافته شده است.,This sweater is very warm because it is made of sheep's wool.,,
bridge,A1,noun,پل,X,pol,ساختاری روی رودخانه برای عبور,X,پل روی جاده است و ماشین‌ها از آن می‌گذرند.,The bridge is on the road and cars pass over it.,,
"stair, step",A2,noun,پله,X,pelle,هر یک از سطوحِ سنگی یا چوبی برای بالا رفتن,X,آسانسور شلوغ است، پس ترجیح می‌دهم از پلهها بالا بروم.,"The elevator is crowded, so I prefer to go up the stairs.",,
police,A2,noun,پلیس‎,X,polis,نیرویِ نگهبانیِ شهر,X,پلیس در خیابان ایستاده است.,The police are standing on the street.,,
sweater,A2,noun,پلیور,X,poliver,لباسِ گرم برای بالا تنه,X,این پلیور گرم است.,This sweater is warm.,,
refugee,B2,noun,پناهنده,X,panâhande,پناهجویِ گریخته از جنگ,X,هزاران پناهنده به دلیل جنگ داخلی مجبور به ترک خانه و دیار خود شدند.,Thousands of refugees were forced to flee their homes and lands due to the civil war.,,
cotton,B1,noun,پنبه,X,panbe,گیاه نرم برای تولید پارچه,X,پیراهن‌های تولید شده از پنبه برای فصل تابستان بسیار خنک هستند.,Shirts made of cotton are very cool for the summer.,,
five,A1,numeral,پنج,X,panj,عدد ۵,X,پنج یعنی دو و سه.,Five means two and three.,,
fifty,A1,numeral,پنجاه,X,panjâh,عدد ۵۰,X,پنجاه یعنی پنج تا ده.,Fifty means five tens.,,
window,A1,noun,پنجره,X,panjare,چارچوبی در دیوار که شیشه دارد و نور می‌آورد,X,پنجره باز است.,The window is open.,,
Thursday,A1,noun,پنجشنبه,X,panj-šanbe,روز پنجمِ هفته در تقویمِ ایرانی,X,پنجشنبه کلاس ندارم.,On Thursday I don’t have class.,,
cheese,A1,noun,پنیر,X,panir,خوراکی سفید که از شیر درست می‌شود,X,پنیر را روی پیتزا می‌ریزم.,I put cheese on the pizza.,,
"wide, broad",A2,adjective,پهن,X,pahn,چیزی که عرض و فاصله‌ی دو طرفِ آن زیاد است,X,این میز خیلی پهن است و از درِ کوچک اتاق رد نمی‌شود.,This table is very wide and won't pass through the small room door.,,
"wear, dress, put on",A1,verb,پوشیدن,X,pušidan,تن کردن لباس,X,من کلاه می‌پوشم.,I wear a hat.,,
money,A1,noun,پول,X,pul,اسکناس یا فلزی که برای خریدِ کالا به کار می‌رود,X,من پول دارم.,I have money.,,
pedestrian,A2,adjective,پیاده,X,piyâde,مربوط به راه رفتن,X,من پیاده به خانه رفتم.,I walked home.,,
pizza,A1,noun,پیتزا,X,pitzâ,غذای گرد با پنیر و سس که در فر پخته می‌شود,X,پیتزا را با چاقو می‌بُرم.,I cut the pizza with a knife.,,
screw,B1,noun,پیچ,X,pič,قطعه فلزیِ چرخشی,X,این صندلی لرزان است چون یکی از پیچ‌های آن باز شده است.,This chair is wobbly because one of its screws is loose.,,
screwdriver,B1,noun,پیچ‌گوشتی,X,pič-gušti,ابزارِ چرخاندنِ پیچ,X,برای باز کردن این پیچِ چهارسو، به یک پیچ‌گوشتی نیاز دارم.,I need a screwdriver to loosen this square screw.,,
"find, discover",A2,verb,پیدا کردن,X,peydâ kardan,چیزی را پیدا کردن بعد از گم شدن,X,کلیدم را در کیفم پیدا کردم.,I found my key in my bag.,,
old,A2,adjective,پیر,X,pir,دارای سنِ زیاد,X,پیرمرد لبخند زد.,The old man smiled.,,
shirt,A1,noun,پیراهن,X,pirâhan,لباس برای بالاتنه,X,پیراهن من تمیز است چون آن را شستم.,My shirt is clean because I washed it.,,
progress,B1,noun,پیشرفت,X,pišraft,حرکت به سمتِ جلو و بهتر شدن,X,او در یادگیری زبان فارسی پیشرفت خوبی داشته است.,He has made good progress in learning Persian.,,
"offer, suggestion",B1,noun,پیشنهاد,X,pišnehâd,بیانِ یک طرح یا فکر,X,مدیر شرکت پیشنهاد خوبی برای افزایش حقوق به کارمندان داد.,The company manager made a good offer to increase the salary of the employees.,,
message,A2,noun,"پیغام, پیام",X,payġâm,خبری که به صورتِ کلامی یا متنی برای کسی می‌فرستیم,X,او جواب تلفن را نداد، پس برایش یک پیام کوتاه فرستادم.,"He didn't answer the phone, so I sent him a short message.",,
join,B2,verb,پیوستن,X,peyvastan,ملحق شدن به یک گروه یا سازمان,X,او پس از فارغ‌التحصیلی به ارتش پیوست.,"After graduating, he joined the army.",,
link,B2,noun,پیوند,X,peyvand,اتصالِ عمیق یا رابطه‌ی میانِ دو چیز,X,محققان به دنبال کشف پیوند ژنتیکی بین این دو بیماری هستند.,Researchers are looking for a genetic link between the two diseases.,,
"influence, impression, effect",B2,noun,تأثیر,X,ta'sir,چیزی که نظر یا نتیجه را عوض می‌کند,X,این تجربه روی نگاهِ من به زندگی تأثیرِ عمیقی گذاشت.,This experience had a deep effect on my outlook on life.,,
"theater, theatre",A2,noun,تئاتر,X,te'âtr,جایی برای دیدن نمایش,X,امشب به تئاتر می‌رویم.,Tonight we are going to the theater.,,
theocracy,B2,noun,تئوکراسی,X,te'okrâsi,حکومتی که قدرت سیاسی در دست نهاد دینی است,X,در تئوکراسی، قانون‌گذاری به شکل مستقیم به نهاد دینی گره می‌خورد.,"In a theocracy, lawmaking is directly tied to a religious institution.",,
"until, up to",A2,preposition,تا,X,tâ,حرف اضافه برای زمانِ آخر,X,من تا فردا در تهران می‌مانم.,I’m staying in Tehran until tomorrow.,,
"summer, summertime",A1,noun,تابستان,X,tâbestân,فصل بعد از بهار و قبل از پاییز,X,تابستان برای شنا خوب است.,Summer is good for swimming.,,
crown,B1,noun,تاج,X,tâj,چیزی که روی سرِ پادشاه است,X,روی تاجِ پادشاه سنگ‌های قیمتی بود.,There were precious stones on the king’s crown.,,
"date, history",A2,noun,تاریخ,X,târix,رویدادهای گذشته یا روز و ماه,X,تاریخ این نامه را نگاه کن.,Look at the date of this letter.,,
date of birth,A1,noun,تاریخ تولد,X,târix-e tavallod,روزی که یک نفر به دنیا آمده است,X,تاریخ تولد من روی کارت است.,My date of birth is on the card.,,
dark,A1,adjective,تاریک,X,târik,مکانی که نوری در آن نیست و چشم نمی‌بیند,X,اتاق تاریک است.,The room is dark.,,
darkness,B1,noun,تاریکی,X,târiki,وضعیتی که به دلیلِ نبودنِ نور ایجاد می‌شود,X,چراغ‌ها ناگهان خاموش شدند و تمام خانه در تاریکی مطلق فرو رفت، طوری که حتی دستم را هم نمی‌دیدم.,"The lights suddenly turned off and the whole house plunged into absolute darkness, such that I couldn't even see my hand.",,
just,A2,adverb,تازه,X,tâze,به همین تازگی,X,من تازه رسیدم.,I just arrived.,,
fresh,A2,adjective,تازه,X,tâze,نو و تازه از بازار,X,این نان تازه است.,This bread is fresh.,,
taxi,A1,noun,تاکسی,X,tâksi,ماشینِ کرایه‌ای برای رفتن,X,وقتی دیر است، تاکسی می‌گیرم.,"When it’s late, I take a taxi.",,
congratulate,A2,verb,تبریک گفتن,X,tabrik goftan,گفتنِ جمله برای شادیِ یک نفر,X,برای تولدت به تو تبریک می‌گویم.,I congratulate you on your birthday.,,
discrimination,B2,noun,تبعیض,X,tab'iz,تفاوت گذاشتنِ ناعادلانه,X,مبارزه با تبعیض نژادی و جنسیتی یکی از اهداف اصلی سازمان‌های حقوق بشری است.,Fighting racial and gender discrimination is one of the main goals of human rights organizations.,,
"commerce, trade",B1,noun,تجارت,X,tejârat,دادوستدِ کالا,X,تجارت بین دو کشور در این سال‌ها بیشتر شده است.,Trade between the two countries has increased in recent years.,,
trade,B2,verb,تجارت کردن,X,tejârat kardan,دادوستد انجام دادن,X,او سال‌هاست با کشورهای همسایه تجارت می‌کند.,He has been trading with neighboring countries for years.,,
"experience, experiment",B1,noun,تجربه,X,tajrobe,اتفاق یا کارِ انجام‌شده برای یادگیری,X,این تجربه به من یاد داد تنها تصمیم نگیرم.,This experience taught me not to decide alone.,,
"experience, experiment",B1,verb,تجربه کردن,X,tajrobe kardan,چیزی را خودت انجام دادن و یاد گرفتن,X,من این کار را برای اولین بار تجربه کردم.,I experienced this for the first time.,,
bed,A1,noun,تخت,X,taxt,جایی برای خوابیدن,X,تخت در اتاق خواب است.,The bed is in the bedroom.,,
"discount, sale",A2,noun,تخفیف,X,taxfif,کم کردنِ قیمتِ کالا,X,چون امروز روز جمعه است، این فروشگاه تخفیف خوبی می‌دهد.,"Since today is Friday, this store is giving a good discount.",,
egg,A1,noun,تخم مرغ,X,toxm-e morġ,غذایی که از مرغ به دست می‌آید و برای صبحانه هم خورده می‌شود,X,تخم مرغ را برای صبحانه می‌پزم.,I cook eggs for breakfast.,,
translation,A2,noun,ترجمه,X,tarjome,نوشتنِ معنی از یک زبان به زبان دیگر,X,من ترجمه فارسی را دوست دارم.,I like the Persian translation.,,
fear,B1,noun,ترس,X,tars,احساسِ ناخوشایند هنگامِ روبرو شدن با خطر,X,او از ارتفاع ترس دارد و هرگز حاضر نمی‌شود به بالای برج‌های بلند یا کوه‌های نوک‌تیز برود.,He has a fear of heights and never agrees to go to the top of tall towers or sharp mountains.,,
sour,A2,adjective,ترش,X,torš,دارای مزهٔ لیمو,X,این لیمو ترش است.,This lemon is sour.,,
sourness,A2,noun,ترشی,X,torši,مزهٔ ترش در غذا,X,من ترشی دوست دارم.,I like pickles.,,
promotion,B1,noun,ترفیع,X,tarfi',ارتقاء رتبه در شغل,X,او پس از سال‌ها تلاش، بالاخره ترفیع گرفت و مدیر بخش شد.,"After years of hard work, he finally got promoted and became a department manager.",,
Turkey,A1,noun,ترکیه,X,torkiye,کشوری همسایهٔ ایران در غرب,X,ترکیه نزدیکِ ایران است.,Turkey is close to Iran.,,
brake,B1,noun,ترمز,X,tormoz,وسیله‌ی توقفِ ماشین,X,ناگهان سگی وارد خیابان شد و راننده به سرعت روی ترمز کوبید.,"Suddenly, a dog entered the street and the driver slammed on the brakes.",,
"thank you, thanks",A1,interjection,تشکر,X,tašakkor,کلمه‌ای برای گفتنِ سپاس,X,وقتی کمکم می‌کنی، می‌گویم «تشکر».,"When you help me, I say “thank you.”",,
thank,A2,verb,تشکر کردن,X,tašakkor kardan,گفتنِ سپاس,X,برای کمکت از تو تشکر می‌کنم.,I thank you for your help.,,
thirsty,A1,adjective,تشنه,X,tešne,نیاز داشتن به آب,X,بعد از ورزش تشنه می‌شوم.,After exercise I get thirsty.,,
decision,B1,noun,تصمیم,X,tasmim,انتخابِ یک راه بعد از فکر کردن,X,او برای مهاجرت به کشور دیگر تصمیم سختی گرفت.,He made a difficult decision to move to another country.,,
decide,B1,verb,تصمیم گرفتن,X,tasmim gereftan,انتخاب کردنِ نهاییِ یک کار,X,من هنوز نتوانسته‌ام تصمیم بگیرم کدام ماشین را بخرم.,I still haven’t decided which car to buy.,,
balance,B1,noun,تعادل,X,ta'âdol,حالتِ برابر و درست نگه داشتن,X,برای سلامتی باید بین کار و استراحت تعادل داشته باشیم.,"For our health, we should keep a balance between work and rest.",,
"vacation, holiday",A1,noun,تعطیلات,X,ta'tilât,زمانی که مدرسه تعطیل است,X,در تعطیلات به خانه می‌روم.,On vacation I go home.,,
repair,A2,noun,تعمیر,X,ta'mir,عملِ درست کردن و بازسازیِ یک وسیله‌ی خراب,X,ماشین من در اتوبان خاموش شد و حالا به تعمیر نیاز دارد.,My car turned off on the highway and now needs repair.,,
"fix, repair",B1,verb,تعمیر کردن,X,ta'mir kardan,سالم کردنِ دوباره‌ی چیزی که کار نمی‌کند,X,موتور یخچال سوخته است و فقط یک تعمیرکار حرفه‌ای می‌تواند آن را دوباره تعمیر کند.,"The refrigerator motor is burnt out, and only a professional repairman can fix it again.",,
change,A2,noun,تغییر,X,taġyir,متفاوت شدنِ حالت یا ظاهرِ چیزی نسبت به قبل,X,فصل عوض شد و این تغییر ناگهانی هوا باعث شد مریض شوم.,The season changed and this sudden change in weather caused me to get sick.,,
change,B1,verb,تغییر دادن,X,taġyir dâdan,کاری انجام دادن که چیزی متفاوت شود,X,من می‌خواهم دکوراسیون اتاق را تغییر دهم و جای تخت و کمد را با هم عوض کنم تا فضا بازتر شود.,I want to change the room's decoration and swap the places of the bed and the wardrobe to make the space more open.,,
almost,B1,adverb,تقریبا,X,taġriban,نزدیک به یک مقدار یا حالت، اما نه کاملاً,X,من تقریباً تمام کتاب را خوانده‌ام و فقط پنج صفحه از فصل آخر باقی مانده است.,I have almost read the whole book and only five pages of the last chapter remain.,,
"divide, share, split",B1,verb,تقسیم کردن,X,taqsim kardan,یک چیز را به بخش‌ها جدا کردن,X,پول را بین سه نفر تقسیم کردیم تا هیچ‌کس ناراضی نباشد.,We divided the money among three people so that no one would be unhappy.,,
calendar,A2,noun,تقویم,X,taqvim,دفترِ روزها و ماه‌ها,X,من در تقویم نگاه می‌کنم.,I look at the calendar.,,
shake,B2,verb,تکاندن,X,takândan,تکان دادن برای جدا شدنِ گرد و خاک یا آب,X,بعد از اینکه فرش را تکاند، اتاق خیلی تمیزتر شد.,"After he shook out the carpet, the room became much cleaner.",,
piece,A2,noun,تکه,X,tekke,قسمتی کوچک از یک چیز,X,یک تکه نان می‌خواهم.,I want a piece of bread.,,
"cell phone, mobile, mobile phone",A1,noun,تلفن همراه,X,telefon-e hamrâh,وسیله‌ای برای تماس و پیام,X,تلفن همراه من زنگ می‌زند.,My cell phone is ringing.,,
television,A1,noun,تلویزیون,X,talwīzyūn,دستگاهی برای دیدن برنامه و فیلم,X,تلویزیون را روشن می‌کنم و فیلم می‌بینم.,I turn on the television and watch a movie.,,
call,A2,verb,تماس گرفتن,X,tamâs gereftan,با تلفن حرف زدن با یک نفر,X,من فردا با تو تماس می‌گیرم.,I will call you tomorrow.,,
sight,B1,noun,تماشا,X,tamâšâ,دیدن برای لذت یا بررسی,X,تماشای غروب کنار دریا برایم آرامش‌بخش است.,Watching the sunset by the sea is relaxing for me.,,
"see, watch",B1,verb,تماشا کردن,X,tamâšâ kardan,نگاه کردن با دقت,X,ما غروب را از بالای پل تماشا کردیم.,We watched the sunset from the top of the bridge.,,
"stamp, postage stamp",A2,noun,تمبر,X,tambr,چسبِ کوچک برای فرستادنِ نامه,X,من روی پاکت تمبر زدم.,I put a stamp on the envelope.,,
"clean, neat",A2,adjective,تمیز,X,tamiz,مرتب و بدون کثیفی,X,لطفاً اتاق را تمیز کن.,Please clean the room.,,
lazy,A2,adjective,تنبل,X,tanbal,کسی که کار نمی‌کند,X,او خیلی تنبل است و تمام روز فقط روی مبل می‌خوابد.,He is very lazy and just sleeps on the sofa all day.,,
Tehran,A1,noun,تهران,X,tehrân,پایتختِ ایران,X,تهران در ایران است.,Tehran is in Iran.,,
you (informal),A1,pronoun,تو,X,to,ضمیر برای خطاب به یک نفر در گفت‌وگوی خودمانی,X,تو امروز دیر آمدی.,You came late today.,,
toilet,A1,noun,توالت,X,tovâlet,جایی برای انجام کارهای بهداشتی,X,توالت کنار حمام است.,The toilet is next to the bathroom.,,
ball,A1,noun,توپ,X,tup,چیزی گرد برای بازی,X,توپ زیر میز افتاد.,The ball fell under the table.,,
berry,A2,noun,توت,X,tut,میوهٔ کوچک و گرد و نرم,X,این توت‌ها خیلی شیرین‌اند.,These berries are very sweet.,,
strawberry,A2,noun,توت فرنگی,X,tut farangi,میوهٔ قرمز با دانه‌های ریز,X,من توت فرنگی دوست دارم.,I like strawberries.,,
tourist,A2,noun,توریست,X,turist,کسی که برای دیدنِ یک کشور سفر می‌کند,X,او یک توریست از فرانسه است.,He is a tourist from France.,,
touristy,A2,adjective,توریستی,X,turisti,مربوط به جاهایی که برای مسافرها ساخته شده,X,اینجا خیلی توریستی است.,It’s very touristy here.,,
"by, through",B1,preposition,توسط,X,tavassot-e,حرفِ اضافه برای نشان دادنِ انجام‌دهنده,X,این گزارش توسط مدیر نوشته شد.,This report was written by the manager.,,
explanation,B1,noun,توضیح,X,towzih,صحبت برای روشن کردنِ یک مطلبِ سخت,X,معلم یک توضیح ساده برای این درس سخت داد.,The teacher gave a simple explanation for this difficult lesson.,,
explain,B1,verb,توضیح دادن,X,towzih dâdan,روشن کردنِ یک موضوع برای دیگران,X,می‌شود روش کار با این دستگاه را توضیح بدهید؟,Can you explain how to use this machine?,,
stop,A2,verb,توقف کردن,X,tavaġġof kardan,ایستادنِ حرکت برای مدتی کوتاه,X,لطفاً اینجا توقف کن.,Please stop here.,,
"birthday, birth",A1,noun,تولد,X,tavallod,روزی که به دنیا آمده‌ای,X,امروز تولد بابا است.,Today is Dad’s birthday.,,
sharp,B1,adjective,تیز,X,tiz,ویژگیِ لبه‌ی چاقو یا سوزن که به راحتی می‌بُرد,X,این چاقو آن‌قدر تیز است که حتی پوست نرم گوجه‌فرنگی را بدون هیچ فشاری به‌راحتی می‌برد.,This knife is so sharp that it easily cuts even the soft skin of a tomato without any pressure.,,
T-shirt,A1,noun,تی‌شرت,X,ti-šert,لباسِ کوتاه برای بالاتنه,X,تی‌شرت را در تابستان می‌پوشم.,I wear a T-shirt in summer.,,
TV,A1,noun,تی‌وی,X,ti-vi,نام کوتاه برای دستگاهی که برنامه و فیلم را نشان می‌دهد,X,تی‌وی در اتاق نشیمن است.,The TV is in the living room.,,
second,A2,noun,ثانیه,X,sâniye,یک قسمت خیلی کوتاه از زمان,X,یک ثانیه دیر شد.,One second was late.,,
"wealthy, rich",A2,adjective,ثروتمند,X,servatmand,فردی که دارایی و پولِ بسیار زیادی دارد,X,او آن‌قدر ثروتمند است که سه هواپیمای شخصی و یک کشتی دارد.,He is so wealthy that he owns three private jets and a ship.,,
"space, place",A1,noun,"جا, جای",X,jâ,مکانی که یک چیز در آن جا می‌گیرد,X,برای این صندلی جا نداریم.,We don’t have space for this chair.,,
road,A1,noun,جاده,X,jâdde,راهی برای رفتن از یک جا به جای دیگر,X,این جاده به شهر می‌رود.,This road goes to the city.,,
broom,A2,noun,"جاروب, جارو",X,jârub,وسیله‌ای برای تمیز کردن زمین,X,مادر با یک جارو تمام آشغال‌های روی زمین را جمع کرد.,Mother swept up all the garbage on the floor with a broom.,,
interesting,A2,adjective,جالب,X,jâleb,جوری که آدم دوست دارد بداند,X,این فیلم جالب است.,This movie is interesting.,,
"society, community",B1,noun,جامعه,X,jâme'e,گروه بزرگِ مردم,X,جامعه بدون اعتماد دوام نمی‌آورد.,A society cannot last without trust.,,
sociologist,B2,noun,جامعه‌شناس,X,jâme'e-šenâs,پژوهشگرِ جامعه و رفتار جمعی,X,آن جامعه‌شناس گفت که آمار تنها کافی نیست و باید رفتار مردم را هم دید.,"That sociologist said statistics alone are not enough, and we must also look at people’s behavior.",,
sociology,C,noun,جامعه‌شناسی,X,jâme'e-šenâsi,دانشِ بررسیِ جامعه و رفتار جمعی,X,جامعه‌شناسی می‌پرسد چرا یک رفتار تکرار می‌شود، حتی وقتی به ضررِ افراد است.,"Sociology asks why a behavior repeats, even when it harms individuals.",,
"portmanteau, suitcase",C,noun,جامه‌دان,X,jâme-dân,واژه‌ای ادبی و قدیمی برای صندوق لباس,X,مسافر قدیمی، جامه‌دان چرمی‌اش را با دقت در صندوق گذاشت.,The old traveler carefully placed his leather portmanteau in the trunk.,,
"dear, soul, life",A2,noun,جان,X,jân,جانِ آدم و نیرویِ زندگی,X,جان من، بیا اینجا.,"My dear, come here.",,
new,A1,adjective,جدید,X,jadid,تازه و نو,X,این تلفن همراه جدید است.,This cell phone is new.,,
attractive,B1,adjective,جذاب,X,jazzâb,زیبا و دل‌پسند,X,او با حرف‌های آرام و نگاه مستقیمش برای خیلی‌ها جذاب بود.,"With his calm words and direct gaze, he was attractive to many people.",,
detail,B1,noun,جزئیات,X,joz'iyyât,ریزترین بخش‌ها و نکته‌ها,X,در این گزارش، جزئیات زمان و مکان هم نوشته شده است.,"In this report, the details of time and place are also written.",,
island,A2,noun,جزیره,X,jazire,تکهٔ خشکی در میانِ آب,X,ما در یک جزیره کوچک بودیم.,We were on a small island.,,
